   ,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17
P0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
P1 ,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2 ,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
P3 ,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4 ,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
P5 ,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P6 ,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
P7 ,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P8 ,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0
P9 ,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
P10,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
P11,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
P12,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
P13,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
P14,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
P15,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
P16,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0
P17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0
P18,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0
P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
P20,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0
P21,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0
P22,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
